creationDate|id|locationIP|browserUsed|content|length
2012-12-17T02:33:28.710+00:00|1168231106857|1.2.2.77|Firefox|About Lord Byron, .. a very bland score, distressingly banal (all those waltzes!)|82
2012-12-17T14:08:55.755+00:00|1168231106858|148.204.226.31|Chrome|ok|2
2012-12-17T03:47:47.067+00:00|1168231106863|196.29.42.107|Firefox|maybe|5
2012-12-17T04:02:08.274+00:00|1168231106864|196.29.42.107|Firefox|About George Orwell, ry's best chronicler of English culture, OrwAbout Mexico, nt and|86
2012-12-17T11:05:21.540+00:00|1168231106866|203.215.63.48|Firefox|About George Orwell, opies than any two books byAbout The Unauthorized Biograph|79
2012-12-17T23:23:15.916+00:00|1168231106867|31.170.121.115|Internet Explorer|thx|3
2012-12-17T11:07:08.803+00:00|1168231106868|189.202.102.202|Firefox|good|4
2012-12-17T11:59:31.500+00:00|1168231106869|77.245.239.11|Firefox|About George Orwell, book Homage to Catalonia (1938), an account of his expAbout Mauritania, other than th|106
2012-12-17T15:33:14.897+00:00|1168231107142|196.2.3.190|Internet Explorer|About Michel Foucault, une 1984) was a French philosopher, social theorist and histori|86
2012-12-17T15:35:26.513+00:00|1168231107144|77.245.239.11|Firefox|About Classical Athens,  The peak of Athenian hegemony was achieved in the 440s to 4|84
2012-12-17T18:46:17.044+00:00|1168231107150|41.74.150.41|Firefox|About Raphael,  Brooklyn until his death. During the course of his ministry as an aux|85
2012-12-17T15:54:12.445+00:00|1168231107153|31.192.132.124|Firefox|great|5
