creationDate|id|locationIP|browserUsed|content|length
2012-12-30T11:03:46.738+00:00|1168231107118|58.145.168.54|Chrome|About Katarina Srebotnik,  Slovenian professional tennis player. SreboAbout Maybellene|86
2012-12-30T19:32:58.024+00:00|1168231107145|58.145.168.54|Chrome|good|4
2012-12-30T08:14:45.114+00:00|1168231107276|58.145.168.54|Chrome|yes|3
2012-12-30T00:24:30.865+00:00|1168231109188|91.223.132.248|Internet Explorer|roflol|6
2012-12-30T03:24:50.622+00:00|1168231109191|91.223.132.248|Internet Explorer|About Kingdom of Ireland, he proclamation of Henry VIII as King of Ireland by the Crown of|90
2012-12-30T04:05:49.940+00:00|1168231109194|27.121.123.176|Chrome|About Benin, etroleum Producers Association and the NigAbout Kingdom of Ireland,|82
2012-12-30T19:53:45.116+00:00|1168231109195|41.74.150.41|Firefox|no|2
2012-12-30T07:43:43.766+00:00|1168231109196|1.88.156.174|Internet Explorer|great|5
2012-12-30T14:04:39.282+00:00|1168231109197|91.223.132.248|Internet Explorer|LOL|3
2012-12-30T05:33:39.799+00:00|1168231109202|27.131.221.93|Internet Explorer|good|4
2012-12-30T04:19:38.514+00:00|1168231109203|196.1.135.241|Internet Explorer|maybe|5
2012-12-30T05:33:29.166+00:00|1168231109205|41.223.177.12|Safari|About Kingdom of Ireland,  form the United Kingdom of Great Britain andAbout Meddle, al|88
2012-12-30T17:18:58.779+00:00|1168231109206|41.203.147.168|Internet Explorer|duh|3
2012-12-30T14:28:46.332+00:00|1168231109208|103.1.176.97|Safari|About Neo-Assyrian Empire, C, and often under Kassite rule. During the 20th Century|83
2012-12-30T15:09:27.946+00:00|1168231109209|49.206.89.61|Safari|no|2
2012-12-30T15:02:47.157+00:00|1168231109211|46.21.0.249|Internet Explorer|About Music of My Heart, ons: the Academy Award for Best Original Song two for the Gram|87
2012-12-30T15:27:42.465+00:00|1168231109212|41.223.177.12|Safari|roflol|6
2012-12-30T15:48:49.157+00:00|1168231109213|46.21.0.249|Internet Explorer|About Fernando González, quarterfinal round of all four Grand Slam tournaments. He played his first major About Dirty Mind, nked number 204 on Rolling Stone maga|161
2012-12-30T08:25:20.542+00:00|1168231109214|41.74.150.41|Firefox|no way!|7
2012-12-30T14:24:09.799+00:00|1168231109215|91.223.132.248|Internet Explorer|About The Hands That Built America, sed on the soundtrack to the film Gangs of New Yo|85
2012-12-30T15:12:29.674+00:00|1168231109216|41.74.150.41|Firefox|thanks|6
2012-12-30T19:45:36.014+00:00|1168231109217|41.188.97.221|Internet Explorer|About Fernando González,  Reina and Mano de Piedra (Stone Hand)About Spain|75
2012-12-30T20:06:43.260+00:00|1168231109218|41.188.97.221|Internet Explorer|fine|4
2012-12-30T19:47:25.775+00:00|1168231109219|61.16.136.118|Chrome|no|2
2012-12-30T21:26:52.631+00:00|1168231109220|1.2.2.77|Firefox|About Pitcairn Islands, d. The islands are best known as home of the descendants|81
2012-12-30T16:07:34.545+00:00|1168231109221|115.186.113.189|Safari|yes|3
2012-12-30T14:25:44.230+00:00|1168231109222|24.38.139.231|Firefox|About Byzantine Empire, Angelus who was restored for a brief tAbout The Han|75
2012-12-30T21:13:26.296+00:00|1168231109224|31.24.165.15|Firefox|great|5
2012-12-30T21:32:47.690+00:00|1168231109226|41.203.147.168|Internet Explorer|roflol|6
2012-12-30T02:53:34.854+00:00|1168231109228|41.188.97.221|Internet Explorer|About Fernando González, ualified twice for the year-end Masters CuAbout Dutch Empi|83
2012-12-30T03:25:59.344+00:00|1168231109244|31.170.121.115|Internet Explorer|fine|4
2012-12-30T02:44:51.196+00:00|1168231109249|31.170.121.115|Internet Explorer|About The Complete Library of Congress Recordings, spans 128 tracks over eight CDs.|83
2012-12-30T05:10:22.683+00:00|1168231109253|196.1.135.241|Internet Explorer|cool|4
2012-12-30T20:38:08.540+00:00|1168231109269|31.209.42.207|Internet Explorer|cool|4
2012-12-30T01:48:58.582+00:00|1168231109272|27.98.220.136|Firefox|About Adolf Hitler, orm of German nationalism. Hitler personally claimed he was fighti|86
2012-12-30T02:40:44.125+00:00|1168231109273|46.21.0.249|Internet Explorer|roflol|6
2012-12-30T01:49:08.922+00:00|1168231109279|192.100.158.95|Internet Explorer|ok|2
2012-12-30T09:48:56.932+00:00|1168231109280|192.190.31.253|Chrome|About Adolf Hitler, s out of distrust for mainstream newspapers aAbout Lower Canada, part|89
2012-12-30T16:25:26.047+00:00|1168231109281|61.16.136.118|Chrome|ok|2
2012-12-30T01:51:17.908+00:00|1168231109282|91.223.132.248|Internet Explorer|ok|2
