creationDate|id|locationIP|browserUsed|content|length|creator|place|parentPost|parentComment
2012-08-31T18:38:32.626+00:00|1030792151558|31.41.169.140|Chrome|yes|3|16|92|1030792151557|
2012-08-31T23:27:00.209+00:00|1030792151559|27.116.33.147|Safari|thanks|6|19791209300009|0|1030792151557|
2012-08-31T18:39:11.525+00:00|1030792151560|31.41.169.140|Chrome|LOL|3|16|92|1030792151557|
2012-09-01T02:55:46.226+00:00|1030792151561|91.191.192.127|Firefox|I see|5|24189255811081|4|1030792151557|
2012-08-31T19:49:53.471+00:00|1030792151562|91.191.192.127|Firefox|fine|4|24189255811081|4|1030792151557|
2012-08-31T18:38:37.626+00:00|1030792151563|103.1.176.97|Safari|right|5|47|100|1030792151557|
2012-08-31T18:24:12.597+00:00|1030792151564|31.192.109.124|Internet Explorer|About Wolfgang Amadeus Mozart, among the mosAbout Janis Joplin, ust Me, Merce|77|4398046511148|56|1030792151557|
2012-09-01T05:38:14.053+00:00|1030792151565|196.29.42.107|Firefox|good|4|19791209300010|60||1030792151564
2012-09-01T01:21:29.766+00:00|1030792151566|31.24.100.159|Firefox|no|2|13194139533343|50||1030792151564
2012-09-01T02:52:25.067+00:00|1030792151567|31.41.169.140|Chrome|About Isabella I of Castile, political unificatioAbout William Shakespeare,  a |79|16|92|1030792151557|
2012-09-01T19:51:46.211+00:00|1030792151568|31.24.100.159|Firefox|cool|4|13194139533343|50||1030792151567
2012-09-01T03:50:42.987+00:00|1030792151569|31.182.127.125|Internet Explorer|About Commonwealth of England, and and Scotland from 1649 to 1660. Between 1About The Blu|89|27|92||1030792151567
2012-09-01T03:26:27.372+00:00|1030792151570|31.41.169.140|Chrome|good|4|16|92|1030792151557|
2012-09-01T05:14:23.908+00:00|1030792151571|202.171.246.41|Internet Explorer|thx|3|26388279066641|35|1030792151557|
2012-09-01T09:27:39.890+00:00|1030792151572|31.192.109.124|Internet Explorer|About Kurt Vonnegut, nion and a criticalAbout A Little Less Conversation, |74|4398046511148|56|1030792151557|
2012-08-31T19:49:31.833+00:00|1030792151573|91.191.192.127|Firefox|good|4|24189255811081|4|1030792151557|
2012-08-24T03:15:25.844+00:00|1030792151575|31.24.100.159|Firefox|duh|3|13194139533343|50|1030792151574|
2012-08-23T20:07:21.673+00:00|1030792151576|27.116.33.147|Safari|About Jermaine Dupri, i or JD, is an American record producerAbout Never Too |77|19791209300009|0|1030792151574|
2012-08-24T06:41:28.565+00:00|1030792151577|27.116.33.147|Safari|fine|4|19791209300009|0||1030792151576
2012-08-24T01:58:15.724+00:00|1030792151578|91.191.192.127|Firefox|About Wolfgang Amadeus Mozart,  He was survived by his wife ConstanzeAbout |75|24189255811081|4|1030792151574|
2012-08-24T01:31:29.809+00:00|1030792151579|31.24.100.159|Firefox|About Never Too Far/Hero Medley, several charitable events. Carey performed the medley liveAbout More Fish, n Hi-T|114|13194139533343|50||1030792151576
2012-08-24T03:24:44.156+00:00|1030792151580|31.24.100.159|Firefox|no|2|13194139533343|50||1030792151578
2012-08-24T18:58:25.568+00:00|1030792151581|31.192.109.124|Internet Explorer|great|5|4398046511148|56|1030792151574|
2012-08-24T04:02:12.409+00:00|1030792151582|193.104.227.215|Internet Explorer|About Wolfgang Amadeus Mozart, annes Chrysostomus Wolfgangus TheophAbout Giving You the Best That I Got, a|106|26388279066641|86||1030792151578
2012-08-24T02:43:46.463+00:00|1030792151583|103.1.176.97|Safari|About Vojvodina, rthern part of the country, in the Pannonian Plain of Central Europe. Its |91|47|100||1030792151579
2012-08-24T01:07:28.554+00:00|1030792151584|103.1.176.97|Safari|cool|4|47|100||1030792151576
2012-08-23T20:11:15.472+00:00|1030792151585|31.24.100.159|Firefox|roflol|6|13194139533343|50|1030792151574|
2012-08-24T01:01:20.647+00:00|1030792151586|115.30.75.36|Safari|cool|4|47|94|1030792151574|
2012-08-24T08:55:10.479+00:00|1030792151587|193.104.227.215|Internet Explorer|About Andrew Johnson, ons directing the seceded states to hold coAbout Giving You th|84|26388279066641|86||1030792151578
2012-08-24T19:31:33.183+00:00|1030792151588|31.24.100.159|Firefox|About Tupac Shakur, s of most of Tupac's songs are the violence and hardship in i|81|13194139533343|50||1030792151579
2012-08-24T18:56:11.105+00:00|1030792151589|31.41.169.140|Chrome|no|2|16|92||1030792151576
2012-08-24T17:51:22.208+00:00|1030792151590|192.190.31.253|Chrome|LOL|3|26388279066664|49||1030792151576
2012-07-02T06:07:53.870+00:00|962072674856|103.1.176.97|Safari|ok|2|47|100|962072674855|
2012-07-02T07:41:27.242+00:00|962072674857|31.24.100.159|Firefox|thanks|6|13194139533343|50|962072674855|
2012-07-02T07:16:40.537+00:00|962072674858|217.8.33.221|Firefox|About Wolfgang Amadeus Mozart, od in Salzburg. About John Legend, t Know My N|77|13194139533343|46|962072674855|
2012-07-02T11:10:43.970+00:00|962072674859|103.1.176.97|Safari|yes|3|47|100|962072674855|
2012-07-02T09:01:05.378+00:00|962072674860|103.1.176.97|Safari|About Pope Benedict XVI,  Inauguration Mass on 24 April 2005, and tookAbout Augustus,  tribune of the plebs and censor. He was consAbout Edgar Allan Poe, nces Allan, of Richmond, |179|47|100|962072674855|
2012-07-02T12:38:06.559+00:00|962072674861|31.24.100.159|Firefox|About Wolfgang Amadeus Mozart, burg. Already About John Legend, l of the LightAbo|81|13194139533343|50||962072674858
2012-07-02T18:16:03.788+00:00|962072674862|193.104.227.215|Internet Explorer|LOL|3|26388279066641|86||962072674860
2012-07-03T05:17:34.327+00:00|962072674863|31.192.109.124|Internet Explorer|good|4|4398046511148|56||962072674858
2012-07-02T12:31:10.643+00:00|962072674864|103.1.176.97|Safari|yes|3|47|100||962072674860
2012-07-02T13:36:11.868+00:00|962072674865|31.24.100.159|Firefox|maybe|5|13194139533343|50||962072674860
2012-07-02T10:51:22.214+00:00|962072674866|193.104.227.215|Internet Explorer|About Edgar Allan Poe,  In January 1845 Poe published his pAbout Norway, arts of the British Isles, Iceland|107|26388279066641|86||962072674860
2012-07-02T13:03:11.796+00:00|962072674867|193.104.227.215|Internet Explorer|About Edgar Allan Poe, de, tuberculosis, and otherAbout The Gambia, minated by|78|26388279066641|86||962072674866
2012-07-02T12:41:21.337+00:00|962072674868|193.104.227.215|Internet Explorer|About Wolfgang Amadeus Mozart, y his wife CoAbout Alpocalypse, nth studio alAbout Virtu|87|26388279066641|86||962072674861
2012-07-02T16:06:15.048+00:00|962072674869|193.104.227.215|Internet Explorer|ok|2|26388279066641|86||962072674867
2012-07-02T10:51:35.445+00:00|962072674870|31.192.109.124|Internet Explorer|About Beck, ssassination in 1170. It contains many hisAbout Slovenia, nal character|83|4398046511148|56||962072674866
2012-07-02T14:56:35.073+00:00|962072674871|103.1.176.97|Safari|roflol|6|47|100||962072674866
2012-07-17T13:12:12.393+00:00|1030792152545|31.24.100.159|Firefox|About Celia Cruz, areer living in New Jersey, and working inAbout Palestinian terri|83|13194139533343|50|1030792152544|
2012-07-17T22:31:55.230+00:00|1030792152546|196.29.42.107|Firefox|cool|4|19791209300010|60|1030792152544|
2012-07-17T08:01:45.397+00:00|1030792152547|196.29.42.107|Firefox|About France, r 1712 – 3 May 1764) was an Italian polymath, philosopher, poet, essay|84|19791209300010|60|1030792152544|
2012-07-17T08:10:06.278+00:00|1030792152548|196.29.42.107|Firefox|LOL|3|19791209300010|60|1030792152544|
2012-07-17T14:30:55.882+00:00|1030792152549|196.29.42.107|Firefox|About Celia Cruz, Cuba. She spent much of her career livingAbout Rebel Without a |81|19791209300010|60||1030792152545
2012-07-17T09:51:14.006+00:00|1030792152550|196.29.42.107|Firefox|good|4|19791209300010|60|1030792152544|
2011-10-17T02:14:14.265+00:00|687194768872|31.182.127.125|Internet Explorer|I see|5|27|92|687194768871|
2011-10-17T01:24:58.082+00:00|687194768873|193.58.252.189|Internet Explorer|About Muammar Gaddafi, f the RevAbout Muhammad Ali, ed as a tAbout Kenny Rogers,  p|83|27|9|687194768871|
2011-10-16T09:09:27.922+00:00|687194768874|31.182.127.125|Internet Explorer|About Silvio Berlusconi, d a conflict ofAbout Kenny Rogers,  United States About Paul|85|27|92|687194768871|
2011-10-16T22:31:30.894+00:00|687194768875|31.182.127.125|Internet Explorer|About Muammar Gaddafi,  MutharikaAbout Kenny Rogers, appearanceAbout Ted Kennedy, m were a|90|27|92|687194768871|
2011-10-17T08:02:05.520+00:00|687194768876|31.182.127.125|Internet Explorer|good|4|27|92|687194768871|
2011-10-17T08:12:14.191+00:00|687194768877|31.182.127.125|Internet Explorer|great|5|27|92||687194768873
2011-10-17T01:15:59.726+00:00|687194768878|31.182.127.125|Internet Explorer|no way!|7|27|92|687194768871|
2011-10-16T13:38:30.925+00:00|687194768879|31.182.127.125|Internet Explorer|cool|4|27|92||687194768874
2011-10-16T11:10:52.560+00:00|687194768880|31.182.127.125|Internet Explorer|About Haile Selassie I, he heir to a dyAbout Muammar Gaddafi,  General PeopleAbout Kenn|87|27|92|687194768871|
2011-10-17T00:03:59.510+00:00|687194768881|31.182.127.125|Internet Explorer|great|5|27|92||687194768875
2011-10-17T07:53:03.867+00:00|687194768882|31.182.127.125|Internet Explorer|About Muammar Gaddafi, ry 2009 – 31About Kenny Rogers, All-Time in About Egypt, |80|27|92||687194768880
2011-10-17T03:50:42.314+00:00|687194768883|31.182.127.125|Internet Explorer|thx|3|27|92||687194768875
2012-12-15T11:23:39.157+00:00|1168231106037|27.98.220.136|Firefox|About Bourbon Restoration, tly to Paris from Elba. He was greeted with dizzy acclaim a|86|35184372088856|1|1168231106036|
2012-12-15T04:24:17.649+00:00|1168231106038|91.191.192.127|Firefox|thanks|6|24189255811081|4|1168231106036|
2012-12-15T07:04:29.324+00:00|1168231106039|91.191.192.127|Firefox|thx|3|24189255811081|4|1168231106036|
2012-12-15T15:34:33.099+00:00|1168231106040|91.191.192.127|Firefox|About Frank Zappa, he abolition of censorship. Zappa was a highAbout Immanuel Kant, id|86|24189255811081|4|1168231106036|
2012-12-16T00:52:08.375+00:00|1168231106041|27.98.220.136|Firefox|right|5|35184372088856|1||1168231106037
2012-12-15T06:38:50.467+00:00|1168231106042|203.215.63.48|Firefox|thanks|6|2199023255557|65|1168231106036|
2012-12-15T16:34:33.022+00:00|1168231106043|203.215.63.48|Firefox|right|5|2199023255557|65||1168231106040
2012-07-08T10:31:04.085+00:00|962072675837|27.116.33.147|Safari|yes|3|19791209300009|0|962072675836|
2012-07-08T05:19:26.196+00:00|962072675838|203.215.63.48|Firefox|no|2|2199023255557|65|962072675836|
2012-07-08T23:10:04.531+00:00|962072675839|31.209.42.207|Internet Explorer|About Nicolas Cage, ll New Orleans (2009), Kick-Ass (2010), About Come to Dadd|78|8796093022238|101|962072675836|
2012-07-08T23:13:04.167+00:00|962072675840|27.4.90.237|Internet Explorer|maybe|5|19791209299968|0||962072675839
2012-07-08T23:32:02.335+00:00|962072675841|1.29.220.142|Chrome|thanks|6|21990232555527|1||962072675839
2012-07-08T07:00:59.031+00:00|962072675842|31.209.42.207|Internet Explorer|I see|5|8796093022238|101|962072675836|
2012-07-08T04:26:37.116+00:00|962072675843|27.116.33.147|Safari|ok|2|19791209300009|0|962072675836|
2012-07-08T23:30:16.541+00:00|962072675844|1.29.220.142|Chrome|About Nicolas Cage, ce/Off (1997), Gone in 60 SeAbout Girl All the Bad Guys Want,|81|21990232555527|1||962072675839
2012-08-28T13:00:34.388+00:00|1030792152582|1.29.220.142|Chrome|About Judy Davis, dows. Davis first came to attention for her About Friedrich Engels, was later published as the fourth volume of About Jackie Chan, e the 1960s and has appea|174|21990232555527|1|1030792152581|
2012-08-29T08:05:09.022+00:00|1030792152583|203.215.63.48|Firefox|LOL|3|2199023255557|65|1030792152581|
2012-08-29T00:33:11.440+00:00|1030792152584|27.116.34.47|Chrome|thx|3|6597069766699|0||1030792152582
2012-08-28T16:44:21.457+00:00|1030792152585|1.2.2.77|Firefox|About Friedrich Engels, vember 1820 – 5 August 1895) waAbout H. P. Lovecraft, ecraft was r|90|19791209299997|1|1030792152581|
2012-08-29T08:09:45.050+00:00|1030792152586|1.29.220.142|Chrome|About Henry IV of France, the Bourbon branch of the Capetian dyAbout Friedrich Engels, ngland, based on personal observationAbout Rainer Schüttler,|147|21990232555527|1||1030792152582
